id,tokens,ner_tags
494,"['Malware' 'code' 'showing' 'handover' 'from' 'initial' 'module' 'to'
 'main' 'payload' 'Figure' '13' '.']",[10 10 10 10 10 10 10 10 10 10 10 10 10]
495,"['Handover' 'from' 'initial' 'module' 'to' 'the' 'main' 'payload' 'As'
 'mentioned' ',' 'the' 'initial' 'handover' 'component' 'called'
 'triggerInfection' 'with' 'an' 'instance' 'of' 'appObj' 'and' 'a'
 'method' 'that' 'returns' 'the' 'value' 'for' 'the' 'variable' 'config'
 '.']","[10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10
 10 10 10 10 10 10 10 10 10 10]"
496,"['Malware' 'code' 'showing' 'definition' 'of' 'populateConfigMap' 'Figure'
 '14' '.']",[10 10 10 10 10 10 10 10 10]
497,"['Definition' 'of' 'populateConfigMap' ',' 'which' 'loads' 'the' 'map'
 'with' 'values' 'Correlating' 'the' 'last' 'two' 'steps' ',' 'one' 'can'
 'observe' 'that' 'the' 'malware' 'payload' 'receives' 'the'
 'configuration' 'for' 'the' 'following' 'properties' ':' 'number' '–'
 'The' 'default' 'number' 'to' 'be' 'send' 'to' 'the' 'server' '(' 'in'
 'case' 'the' 'number' 'is' 'not' 'available' 'from' 'the' 'device' ')'
 'api' '–' 'The' 'API' 'key' 'url' '–' 'The' 'URL' 'to' 'be' 'used' 'in'
 'WebView' 'to' 'display' 'on' 'the' 'ransom' 'note' 'The' 'malware'
 'saves' 'this' 'configuration' 'to' 'the' 'shared' 'preferences' 'of'
 'the' 'app' 'data' 'and' 'then' 'it' 'sets' 'up' 'all' 'the' 'Broadcast'
 'Receivers' '.']","[10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10
 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10
 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10
 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10
 10]"
498,"['This' 'action' 'registers' 'code' 'components' 'to' 'get' 'notified'
 'when' 'certain' 'system' 'events' 'happen' '.']",[10 10 10 10 10 10 10 10 10 10 10 10 10 10]
499,['This' 'is' 'done' 'in' 'the' 'function' 'initComponents' '.'],[10 10 10 10 10 10 10 10]
500,"['Malware' 'code' 'showing' 'initializing' 'broadcast' 'receiver' 'Figure'
 '15' '.']",[10 10 10 10 10 10 10 10 10]
501,"['Initializing' 'the' 'BroadcastReceiver' 'against' 'system' 'events'
 'From' 'this' 'point' 'on' ',' 'the' 'malware' 'execution' 'is' 'driven'
 'by' 'callback' 'functions' 'that' 'are' 'triggered' 'on' 'system'
 'events' 'like' 'connectivity' 'change' ',' 'unlocking' 'the' 'phone' ','
 'elapsed' 'time' 'interval' ',' 'and' 'others' '.']","[10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10
 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10]"
502,"['Lookout' 'researchers' 'have' 'identified' 'a' 'new' ',' 'highly'
 'targeted' 'surveillanceware' 'family' 'known' 'as' 'Desert' 'Scorpion'
 'in' 'the' 'Google' 'Play' 'Store' '.']",[ 2 10 10 10 10 10 10 10 10 10 10 10 10  1  6 10 10  3  8  8 10]
503,"['Lookout' 'notified' 'Google' 'of' 'the' 'finding' 'and' 'Google'
 'removed' 'the' 'app' 'immediately' 'while' 'also' 'taking' 'action' 'on'
 'it' 'in' 'Google' 'Play' 'Protect' '.']",[ 2 10  2 10 10 10 10  2 10 10 10 10 10 10 10 10 10 10 10  3  8  8 10]
504,"['The' 'app' 'ties' 'together' 'two' 'malware' 'families' '-' 'Desert'
 'Scorpion' 'and' 'another' 'targeted' 'surveillanceware' 'family' 'named'
 'FrozenCell' '-' 'that' 'we' 'believe' 'are' 'being' 'developed' 'by' 'a'
 'single' ',' 'evolving' 'surveillanceware' 'actor' 'called' 'APT-C-23'
 'targeting' 'individuals' 'in' 'the' 'Middle' 'East' '.']","[10 10 10 10 10 10 10 10  1  6 10 10 10 10 10 10  1 10 10 10 10 10 10 10
 10 10 10 10 10 10 10 10  1 10 10 10 10 10 10 10]"
505,"['We' ""'ve"" 'seen' 'this' 'actor' 'rely' 'heavily' 'on' 'phishing'
 'campaigns' 'to' 'trick' 'victims' 'into' 'downloading' 'their'
 'malicious' 'apps' ',' 'specifically' 'on' 'Facebook' '.']",[10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10  3 10]
506,"['Even' 'sophisticated' 'actors' 'are' 'using' 'lower' 'cost' ',' 'less'
 'technologically' 'impressive' 'means' 'like' 'phishing' 'to' 'spread'
 'their' 'malware' 'because' 'it' ""'s"" 'cheap' 'and' 'very' 'effective'
 ',' 'especially' 'on' 'mobile' 'devices' 'where' 'there' 'are' 'more'
 'ways' 'to' 'interact' 'with' 'a' 'victim' '(' 'messaging' 'apps' ','
 'social' 'media' 'apps' ',' 'etc' '.']","[10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10
 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10
 10 10]"
507,"[')' ',' 'and' 'less' 'screen' 'real' 'estate' 'for' 'victims' 'to'
 'identify' 'potential' 'indicators' 'of' 'a' 'threat' '.']",[10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10]
508,"['Lookout' 'customers' 'are' 'protected' 'against' 'this' 'threat' 'and'
 'additionally' 'we' 'have' 'included' 'a' 'list' 'of' 'IOCs' 'at' 'the'
 'end' 'of' 'this' 'report' '.']",[ 2 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10]
509,"['The' 'potential' 'actor' 'and' 'who' 'they' 'target' 'Our' 'current'
 'analysis' 'strongly' 'suggests' 'Desert' 'Scorpion' 'is' 'being'
 'deployed' 'in' 'targeted' 'attacks' 'against' 'Middle' 'Eastern'
 'individuals' 'of' 'interest' 'specifically' 'those' 'in' 'Palestine'
 'and' 'has' 'also' 'been' 'highlighted' 'by' 'other' 'researchers' '.']","[10 10 10 10 10 10 10 10 10 10 10 10  1  6 10 10 10 10 10 10 10 10 10 10
 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10]"
510,"['We' 'have' 'been' 'able' 'to' 'tie' 'the' 'malware' 'to' 'a'
 'long-running' 'Facebook' 'profile' 'that' 'we' 'observed' 'promoting'
 'the' 'first' 'stage' 'of' 'this' 'family' ',' 'a' 'malicious' 'chat'
 'application' 'called' 'Dardesh' 'via' 'links' 'to' 'Google' 'Play' '.']","[10 10 10 10 10 10 10 10 10 10 10  2 10 10 10 10 10 10 10 10 10 10 10 10
 10 10 10 10 10  1 10 10 10  3  8 10]"
511,"['The' 'Lookout' 'Threat' 'Intelligence' 'team' 'identified' 'that' 'this'
 'same' 'Facebook' 'profile' 'has' 'also' 'posted' 'Google' 'Drive'
 'links' 'to' 'Android' 'malware' 'belonging' 'to' 'the' 'FrozenCell'
 'family' 'attributed' 'to' 'APT-C-27' '.']","[10  2  7  7 10 10 10 10 10  2 10 10 10 10  3  8 10 10  3 10 10 10 10  1
 10 10 10  0 10]"
512,"['These' 'factors' ',' 'in' 'combination' 'with' 'the' 'fact' 'that' 'the'
 'command' 'and' 'control' 'infrastructure' 'used' 'by' 'Frozen' 'Cell'
 'and' 'Desert' 'Scorpion' 'resides' 'in' 'similar' 'IP' 'blocks' ','
 'supports' 'the' 'theory' 'that' 'the' 'same' 'actor' 'is' 'responsible'
 'for' 'operating' ',' 'if' 'not' 'developing' ',' 'both' 'families' '.']","[10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10  1  6 10  1  6 10 10 10
 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10]"
513,"['What' 'it' 'does' 'The' 'surveillance' 'functionality' 'of' 'Desert'
 'Scorpion' 'resides' 'in' 'a' 'second' 'stage' 'payload' 'that' 'can'
 'only' 'be' 'downloaded' 'if' 'the' 'victim' 'has' 'downloaded' ','
 'installed' ',' 'and' 'interacted' 'with' 'the' 'first-stage' 'chat'
 'application' '.']","[10 10 10 10 10 10 10  1  6 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10
 10 10 10 10 10 10 10 10 10 10 10 10]"
514,"['The' 'chat' 'application' 'acts' 'as' 'a' 'dropper' 'for' 'this'
 'second-stage' 'payload' 'app' '.']",[10 10 10 10 10 10 10 10 10 10 10 10 10]
515,"['At' 'the' 'time' 'of' 'writing' 'Lookout' 'has' 'observed' 'two'
 'updates' 'to' 'the' 'Dardesh' 'application' ',' 'the' 'first' 'on'
 'February' '26' 'and' 'the' 'second' 'on' 'March' '28' '.']","[10 10 10 10 10  2 10 10 10 10 10 10  1 10 10 10 10 10 10 10 10 10 10 10
 10 10 10]"
516,"['The' 'malicious' 'capabilities' 'observed' 'in' 'the' 'second' 'stage'
 'include' 'the' 'following' ':' 'Upload' 'attacker-specified' 'files'
 'to' 'C2' 'servers' 'Get' 'list' 'of' 'installed' 'applications' 'Get'
 'device' 'metadata' 'Inspect' 'itself' 'to' 'get' 'a' 'list' 'of'
 'launchable' 'activities' 'Retrieves' 'PDF' ',' 'txt' ',' 'doc' ',' 'xls'
 ',' 'xlsx' ',' 'ppt' ',' 'pptx' 'files' 'found' 'on' 'external' 'storage'
 'Send' 'SMS' 'Retrieve' 'text' 'messages' 'Track' 'device' 'location'
 'Handle' 'limited' 'attacker' 'commands' 'via' 'out' 'of' 'band' 'text'
 'messages' 'Record' 'surrounding' 'audio' 'Record' 'calls' 'Record'
 'video' 'Retrieve' 'account' 'information' 'such' 'as' 'email'
 'addresses' 'Retrieve' 'contacts' 'Removes' 'copies' 'of' 'itself' 'if'
 'any' 'additional' 'APKs' 'are' 'downloaded' 'to' 'external' 'storage'
 '.']","[10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10
 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10
 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10
 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10
 10 10 10 10 10 10]"
517,"['Call' 'an' 'attacker-specified' 'number' 'Uninstall' 'apps' 'Check' 'if'
 'a' 'device' 'is' 'rooted' 'Hide' 'its' 'icon' 'Retrieve' 'list' 'of'
 'files' 'on' 'external' 'storage' 'If' 'running' 'on' 'a' 'Huawei'
 'device' 'it' 'will' 'attempt' 'to' 'add' 'itself' 'to' 'the' 'protected'
 'list' 'of' 'apps' 'able' 'to' 'run' 'with' 'the' 'screen' 'off'
 'Encrypts' 'some' 'exfiltrated' 'data' 'Desert' 'Scorpion' ""'s"" 'second'
 'stage' 'masquerades' 'as' 'a' 'generic' '""' 'settings' ""''""
 'application' '.']","[10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10
 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10
 10 10 10  1  6 10 10 10 10 10 10 10 10 10 10 10 10]"
518,"['Curiously' ',' 'several' 'of' 'these' 'have' 'included' 'the' 'world'
 '""' 'Fateh' ""''"" 'in' 'their' 'package' 'name' ',' 'which' 'may' 'be'
 'referring' 'to' 'the' 'Fatah' 'political' 'party' '.']","[10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10  2
 10 10 10]"
519,"['Such' 'references' 'would' 'be' 'in' 'line' 'with' 'FrozenCell' ""'s""
 'phishing' 'tactics' 'in' 'which' 'they' 'used' 'file' 'names' 'to'
 'lure' 'people' 'associated' 'with' 'the' 'political' 'party' 'to' 'open'
 'malicious' 'documents' '.']","[10 10 10 10 10 10 10  1 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10
 10 10 10 10 10 10]"
520,"['Desert' 'Scorpion' ""'s"" 'second' 'stage' 'is' 'capable' 'of'
 'installing' 'another' 'non-malicious' 'application' '(' 'included' 'in'
 'the' 'second' 'stage' ')' 'which' 'is' 'highly' 'specific' 'to' 'the'
 'Fatah' 'political' 'party' 'and' 'supports' 'the' 'targeting' 'theory'
 '.']","[ 1  6 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10
 10  2 10 10 10 10 10 10 10 10]"
521,"['The' 'Lookout' 'Threat' 'Intelligence' 'team' 'is' 'increasingly'
 'seeing' 'the' 'same' 'tradecraft' ',' 'tactics' ',' 'and' 'procedures'
 'that' 'APT-C-23' 'favors' 'being' 'used' 'by' 'other' 'actors' '.']","[10  2  7  7 10 10 10 10 10 10 10 10 10 10 10 10 10  1 10 10 10 10 10 10
 10]"
522,"['The' 'approach' 'of' 'separating' 'malicious' 'functionality' 'out'
 'into' 'separate' 'stages' 'that' 'are' 'later' 'downloaded' 'during'
 'execution' 'and' 'not' 'present' 'in' 'the' 'initial' 'app' 'published'
 'to' 'the' 'Google' 'Play' 'Store' ',' 'combined' 'with' 'social'
 'engineering' 'delivered' 'via' 'social' 'media' 'platforms' 'like'
 'Facebook' ',' 'requires' 'minimal' 'investment' 'in' 'comparison' 'to'
 'premium' 'tooling' 'like' 'Pegasus' 'or' 'FinFisher' '.']","[10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10
 10 10  3  8  8 10 10 10 10 10 10 10 10 10 10 10  2 10 10 10 10 10 10 10
 10 10 10  1 10  1 10]"
523,"['As' 'we' ""'ve"" 'seen' 'with' 'actors' 'like' 'Dark' 'Caracal' ',' 'this'
 'low' 'cost' ',' 'low' 'sophistication' 'approach' 'that' 'relies'
 'heavily' 'upon' 'social' 'engineering' 'has' 'still' 'been' 'shown' 'to'
 'be' 'highly' 'successful' 'for' 'those' 'operating' 'such' 'campaigns'
 '.']","[10 10 10 10 10 10 10  1  6 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10
 10 10 10 10 10 10 10 10 10 10 10 10 10]"
524,"['Given' 'previous' 'operational' 'security' 'errors' 'from' 'this'
 'actor' 'in' 'the' 'past' 'which' 'resulted' 'in' 'exfiltrated' 'content'
 'being' 'publicly' 'accessible' 'Lookout' 'Threat' 'Intelligence' 'is'
 'continuing' 'to' 'map' 'out' 'infrastructure' 'and' 'closely' 'monitor'
 'their' 'continued' 'evolution' '.']","[10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10  2  7  7 10 10
 10 10 10 10 10 10 10 10 10 10 10]"
525,"['Virulent' 'Android' 'malware' 'returns' ',' 'gets' '>' '2' 'million'
 'downloads' 'on' 'Google' 'Play' 'HummingWhale' 'is' 'back' 'with' 'new'
 'tricks' ',' 'including' 'a' 'way' 'to' 'gin' 'user' 'ratings' '.']","[ 1  3 10 10 10 10 10 10 10 10 10  3  8  1 10 10 10 10 10 10 10 10 10 10
 10 10 10 10]"
526,"['DAN' 'GOODIN' '-' '1/23/2017' ',' '4:39' 'PM' 'A' 'virulent' 'family'
 'of' 'malware' 'that' 'infected' 'more' 'than' '10' 'million' 'Android'
 'devices' 'last' 'year' 'has' 'made' 'a' 'comeback' ',' 'this' 'time'
 'hiding' 'inside' 'Google' 'Play' 'apps' 'that' 'have' 'been'
 'downloaded' 'by' 'as' 'many' 'as' '12' 'million' 'unsuspecting' 'users'
 '.']","[10 10 10 10 10 10 10 10  1 10 10 10 10 10 10 10 10 10  3 10 10 10 10 10
 10 10 10 10 10 10 10  3  8 10 10 10 10 10 10 10 10 10 10 10 10 10 10]"
527,"['HummingWhale' ',' 'as' 'the' 'professionally' 'developed' 'malware'
 'has' 'been' 'dubbed' ',' 'is' 'a' 'variant' 'of' 'HummingBad' ',' 'the'
 'name' 'given' 'to' 'a' 'family' 'of' 'malicious' 'apps' 'researchers'
 'documented' 'in' 'July' 'invading' 'non-Google' 'app' 'markets' '.']","[ 1 10 10 10 10 10 10 10 10 10 10 10 10 10 10  1 10 10 10 10 10 10 10 10
 10 10 10 10 10 10 10 10 10 10 10]"
528,"['HummingBad' 'attempted' 'to' 'override' 'security' 'protections' 'by'
 'exploiting' 'unpatched' 'vulnerabilities' 'that' 'gave' 'the' 'malware'
 'root' 'privileges' 'in' 'older' 'versions' 'of' 'Android' '.']",[ 1 10 10 10 10 10 10 10  4  9 10 10 10 10 10 10 10 10 10 10  3 10]
529,"['Before' 'Google' 'shut' 'it' 'down' ',' 'it' 'installed' 'more' 'than'
 '50,000' 'fraudulent' 'apps' 'each' 'day' ',' 'displayed' '20' 'million'
 'malicious' 'advertisements' ',' 'and' 'generated' 'more' 'than' '$'
 '300,000' 'per' 'month' 'in' 'revenue' '.']","[10  2 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10
 10 10 10 10 10 10 10 10 10]"
530,"['Of' 'the' '10' 'million' 'people' 'who' 'downloaded'
 'HummingBad-contaminated' 'apps' ',' 'an' 'estimated' '286,000' 'of'
 'them' 'were' 'located' 'in' 'the' 'US' '.']",[10 10 10 10 10 10 10  1 10 10 10 10 10 10 10 10 10 10 10 10 10]
531,"['HummingWhale' ',' 'by' 'contrast' ',' 'managed' 'to' 'sneak' 'its' 'way'
 'into' 'about' '20' 'Google' 'Play' 'apps' 'that' 'were' 'downloaded'
 'from' '2' 'million' 'to' '12' 'million' 'times' ',' 'according' 'to'
 'researchers' 'from' 'Check' 'Point' ',' 'the' 'security' 'company'
 'that' 'has' 'been' 'closely' 'following' 'the' 'malware' 'family' 'for'
 'almost' 'a' 'year' '.']","[ 1 10 10 10 10 10 10 10 10 10 10 10 10  3  8 10 10 10 10 10 10 10 10 10
 10 10 10 10 10 10 10  2  7 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10
 10 10]"
532,"['Rather' 'than' 'rooting' 'devices' ',' 'the' 'latest' 'variant'
 'includes' 'new' 'virtual' 'machine' 'techniques' 'that' 'allow' 'the'
 'malware' 'to' 'perform' 'ad' 'fraud' 'better' 'than' 'ever' ','
 'company' 'researchers' 'said' 'in' 'a' 'blog' 'post' 'published'
 'Monday' '.']","[10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10
 10 10 10 10 10 10 10 10 10 10 10]"
533,"['""' 'Users' 'must' 'realize' 'that' 'they' 'can' 'no' 'longer' 'trust'
 'in' 'installing' 'only' 'apps' 'with' 'a' 'high' 'reputation' 'from'
 'official' 'app' 'stores' 'as' 'their' 'sole' 'defense' ',' ""''"" 'the'
 'researchers' 'wrote' 'in' 'an' 'e-mail' 'to' 'Ars' '.']","[10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10
 10 10 10 10 10 10 10 10 10 10 10  2 10]"
534,"['""' 'This' 'malware' 'employs' 'several' 'tactics' 'to' 'keep' 'its'
 'activity' 'hidden' ',' 'meaning' 'users' 'might' 'be' 'unaware' 'of'
 'its' 'existence' 'on' 'their' 'device' '.']",[10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10]
535,"[""''"" 'As' 'was' 'the' 'case' 'with' 'HummingBad' ',' 'the' 'purpose' 'of'
 'HummingWhale' 'is' 'to' 'generate' 'revenue' 'by' 'displaying'
 'fraudulent' 'ads' 'and' 'automatically' 'installing' 'apps' '.']","[10 10 10 10 10 10  1 10 10 10 10  1 10 10 10 10 10 10 10 10 10 10 10 10
 10]"
536,"['When' 'users' 'try' 'to' 'close' 'the' 'ads' ',' 'the' 'new'
 'functionality' 'causes' 'already' 'downloaded' 'apps' 'to' 'run' 'in'
 'a' 'virtual' 'machine' '.']",[10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10]
537,"['That' 'creates' 'a' 'fake' 'ID' 'that' 'allows' 'the' 'perpetrators'
 'to' 'generate' 'referral' 'revenues' '.']",[10 10 10 10 10 10 10 10 10 10 10 10 10 10]
538,"['Use' 'of' 'the' 'virtual' 'machine' 'brings' 'many' 'technical'
 'benefits' 'to' 'the' 'operators' ',' 'chief' 'among' 'them' 'allowing'
 'the' 'malware' 'to' 'install' 'apps' 'without' 'requiring' 'users' 'to'
 'approve' 'a' 'list' 'of' 'elevated' 'permissions' '.']","[10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10
 10 10 10 10 10 10 10 10 10]"
539,"['Advertisement' 'The' 'VM' 'also' 'disguises' 'the' 'malicious'
 'activity' ',' 'making' 'it' 'easier' 'for' 'the' 'apps' 'to'
 'infiltrate' 'Google' 'Play' '.']",[10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10  3  8 10]
540,"['It' 'has' 'the' 'added' 'benefit' 'of' 'installing' 'a' 'nearly'
 'unlimited' 'number' 'of' 'fraudulent' 'apps' 'without' 'overloading'
 'the' 'infected' 'device' '.']",[10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10]
541,"['Until' 'now' ',' 'Android' 'malware' 'that' 'wanted' 'advanced'
 'capabilities' 'typically' 'had' 'to' 'trick' 'users' 'into' 'approving'
 'sometimes' 'scary-sounding' 'permissions' 'or' 'exploit' 'rooting'
 'vulnerabilities' '.']",[10 10 10  3 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10]
542,"['Ginning' 'the' 'ratings' 'FURTHER' 'READING' '1' 'million' 'Google'
 'accounts' 'compromised' 'by' 'Android' 'malware' 'called' 'Gooligan'
 'To' 'implement' 'the' 'VM' 'feature' ',' 'the' 'malicious' 'APK'
 'installation' 'dropper' 'used' 'by' 'HummingWhale' 'uses' 'DroidPlugin'
 ',' 'an' 'extension' 'originally' 'developed' 'by' 'developers' 'from'
 'China-based' 'company' 'Qihoo' '360' ',' 'Check' 'Point' 'said' '.']","[10 10 10 10 10 10 10  2 10 10 10  3 10 10  1 10 10 10 10 10 10 10 10 10
 10 10 10 10  1 10  1 10 10 10 10 10 10 10 10 10 10  2  7 10  2  7 10 10]"
543,"['HummingWhale' 'has' 'also' 'been' 'observed' 'hiding' 'the' 'original'
 'malicious' 'app' 'once' 'it' ""'s"" 'installed' 'and' 'trying' 'to'
 'improve' 'its' 'Google' 'Play' 'reputation' 'by' 'automatically'
 'generating' 'posts' 'disguised' 'as' 'positive' 'user' 'comments' 'and'
 'ratings' '.']","[ 1 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10  3  8 10 10 10
 10 10 10 10 10 10 10 10 10 10]"
544,"['Gooligan' ',' 'a' 'family' 'of' 'Android' 'malware' 'that' 'came' 'to'
 'light' 'in' 'November' 'after' 'it' 'compromised' 'more' 'than' '1'
 'million' 'Google' 'accounts' ',' 'contained' 'similar' 'abilities' 'to'
 'tamper' 'with' 'Google' 'Play' 'ratings' '.']","[ 1 10 10 10 10  3 10 10 10 10 10 10 10 10 10 10 10 10 10 10  2 10 10 10
 10 10 10 10 10  3  8 10 10]"
545,"['People' 'who' 'want' 'to' 'know' 'if' 'their' 'Android' 'devices' 'are'
 'infected' 'can' 'download' 'the' 'Check' 'Point' 'app' 'here' '.']",[10 10 10 10 10 10 10  3 10 10 10 10 10 10  2  7 10 10 10]
546,"['A' 'separate' 'app' 'from' 'Check' 'Point' 'competitor' 'Lookout' 'also'
 'detects' 'the' 'threat' 'as' 'a' 'variant' 'of' 'the' 'Shedun' 'malware'
 'family' '.']",[10 10 10 10  2  7 10  2 10 10 10 10 10 10 10 10 10  1 10 10 10]
547,"['More' 'technically' 'inclined' 'people' 'can' 'detect' 'infections' 'by'
 'seeing' 'if' 'a' 'device' 'connects' 'to' 'a' 'control' 'server'
 'located' 'at' 'app.blinkingcamera.com' '.']",[10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10  0 10]
548,"['Package' 'names' 'for' 'infected' 'apps' 'typically' 'contain' 'a'
 'common' 'naming' 'structure' 'that' 'includes' 'com.XXXXXXXXX.camera'
 ',' 'for' 'example' 'com.bird.sky.whale.camera' '(' 'app' 'name' ':'
 'Whale' 'Camera' ')' ',' 'com.color.rainbow.camera' '(' 'Rainbow'
 'Camera' ')' ',' 'and' 'com.fishing.when.orangecamera' '(' 'Orange'
 'Camera' ')' '.']","[10 10 10 10 10 10 10 10 10 10 10 10 10  0 10 10 10  0 10 10 10 10  3  8
 10 10  0 10  3  8 10 10 10  0 10  3  8 10 10]"
549,"['Google' 'officials' 'removed' 'the' 'malicious' 'apps' 'from' 'the'
 'Play' 'market' 'after' 'receiving' 'a' 'private' 'report' 'of' 'their'
 'existence' '.']",[ 2 10 10 10 10 10 10 10  3  8 10 10 10 10 10 10 10 10 10]
550,"['A' 'company' 'representative' 'declined' 'to' 'comment' 'for' 'this'
 'post' '.']",[10 10 10 10 10 10 10 10 10 10]
551,"['BusyGasper' '–' 'the' 'unfriendly' 'spy' '29' 'AUG' '2018' 'In' 'early'
 '2018' 'our' 'mobile' 'intruder-detection' 'technology' 'was' 'triggered'
 'by' 'a' 'suspicious' 'Android' 'sample' 'that' ',' 'as' 'it' 'turned'
 'out' ',' 'belonged' 'to' 'an' 'unknown' 'spyware' 'family' '.']","[ 1 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10  3 10 10 10
 10 10 10 10 10 10 10 10 10 10 10 10]"
552,"['Further' 'investigation' 'showed' 'that' 'the' 'malware' ',' 'which'
 'we' 'named' 'BusyGasper' ',' 'is' 'not' 'all' 'that' 'sophisticated' ','
 'but' 'demonstrates' 'some' 'unusual' 'features' 'for' 'this' 'type' 'of'
 'threat' '.']","[10 10 10 10 10 10 10 10 10 10  1 10 10 10 10 10 10 10 10 10 10 10 10 10
 10 10 10 10 10]"
553,"['From' 'a' 'technical' 'point' 'of' 'view' ',' 'the' 'sample' 'is' 'a'
 'unique' 'spy' 'implant' 'with' 'stand-out' 'features' 'such' 'as'
 'device' 'sensors' 'listeners' ',' 'including' 'motion' 'detectors'
 'that' 'have' 'been' 'implemented' 'with' 'a' 'degree' 'of' 'originality'
 '.']","[10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10
 10 10 10 10 10 10 10 10 10 10 10 10]"
554,"['It' 'has' 'an' 'incredibly' 'wide-ranging' 'protocol' '–' 'about' '100'
 'commands' '–' 'and' 'an' 'ability' 'to' 'bypass' 'the' 'Doze' 'battery'
 'saver' '.']",[10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10]
555,"['As' 'a' 'modern' 'Android' 'spyware' 'it' 'is' 'also' 'capable' 'of'
 'exfiltrating' 'data' 'from' 'messaging' 'applications' '(' 'WhatsApp'
 ',' 'Viber' ',' 'Facebook' ')' '.']",[10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10  3 10  3 10  3 10 10]
556,"['Moreover' ',' 'BusyGasper' 'boasts' 'some' 'keylogging' 'tools' '–'
 'the' 'malware' 'processes' 'every' 'user' 'tap' ',' 'gathering' 'its'
 'coordinates' 'and' 'calculating' 'characters' 'by' 'matching' 'given'
 'values' 'with' 'hardcoded' 'ones' '.']","[10 10  1 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10
 10 10 10 10 10]"
